Juridiction,Mois,Data Qualifier,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alberta,Janvier,a,0,86,12,3,15,1,0,0,0,18,5,0,20,216,2,1,5,5,24,1.389,0,0,1,0,11,1,0,1,0,2,0
Alberta,Février,a,3,1,54,39,0,10,0,0,0,0,5,0,0,0,5,1,34,0,3,41,1,0,0,7,0,0,6,90,0,0,0
Alberta,Mars,a,7,118,248,577,32,289,1,25,1,4,1.124,51,0,6,77,9,2.707,123,1.781,879,479,0,165,2,1,13,642,15,2,14,0
Alberta,Avril,a,25,1.158,1.254,301,868,579,93,117,1.362,1.287,4.92,1.177,367,5.48,4.785,1.338,3.596,843,302,236,657,14.876,125,144,435,2.235,2.709,1.38,117,628,77
Alberta,Mai,a,636,3.678,420,6.476,3.46,330.669,522,356,349.906,38.01,2.484,143.749,240.25,29.841,1.25,11.5,5.655,215.359,1.943,2.1,5.125,794.77,122.256,7.215,505,263.45,498.402,27.072,42.831,896.887,515
Alberta,Juin,a,1.779,89,706,19.789,44.107,6.65,14.164,63,37.77,93.023,7.551,6.102,258.62,1.994,99.888,75.302,97.838,23.384,4.552,61.691,38.531,80.068,232.801,22.154,101.868,553.037,11.353,6.439,13.093,26.566,363
Alberta,Juillet,a,39.003,131,281,159,36.771,1.258,780,399,9.664,52.577,6.765,4.928,1.098,159.615,319.14,4.08,22.558,86.213,12.391,217,41.524,115,282.108,25.094,122.779,22.319,1.726,47.234,10.749,79.691,30
Alberta,Août,a,14.891,1.106,495,285,9.749,2.11,22,60,349.697,1.708,2.291,314,108,5.137,6.837,28,3.686,9,1.489,62,189,1.631,13.337,1.092,61.989,1.85,180,30.841,17.545,3,55
Alberta,Septembre,a,2.316,174,6,7,1.66,370,12,7,64,2.15,77,10.591,7,319,323,9,57,15,133,1.558,57,664,1.27,12,394,880,113,34.987,43,31,2.576
Alberta,Octobre,a,182,138,80,49,27,42,2,0,311,517,30,73,2,1.733,19,43,173,11,129,3,336,100,20,13,67,79,1,1.701,232,9,1.176
Alberta,Novembre,a,43,1,5,8,23,1,0,0,1,506,0,2,82,1,0,55,0,32,138,991,50,8,0,2,1,7,22,0,8,0,4
Alberta,Décembre,a,0,36,0,0,15,0,0,3.897,1,196,0,1,0,4,1,5,1,0,356,203,2,0,0,0,0,1,12,9,398,0,2
